company	title	reason	verdict	decided_on	source_url
Allstate	Pricing Technician Analyst II	Req-level carve-out, employer sponsors company-wide (see data/visa-cache.tsv: 30 LCAs FY2026, 16/16 I-129 approved for Allstate Insurance Co). Indexed copy of THIS posting (not confirmed verbatim -- source page unreachable, WebFetch blocked by cloud egress policy) repeats "Allstate generally does not sponsor individuals for employment-based visas for this position" across independent search results. Scoped to this exact title, not employer-wide.	SKIP	2026-09-19	https://zapply.jobs/l/d/workday-allstate-allstate-careers-R34375
PwC	*	Company-wide published policy, quoted verbatim from the JD: "PwC does not intend to hire experienced or entry level job seekers who will need, now or in the future, PwC sponsorship through the H-1B lottery, except as set forth within the following policy: https://pwc.to/H-1B-Lottery-Policy." WebSearch corroborates this is a long-standing PwC US-wide policy with narrow named exceptions (Chinese/Japanese/Korean Business Network programs) that do not apply to this Pricing GTN Manager req. Employer-wide hard wall.	SKIP	2026-09-19	https://www.linkedin.com/jobs/view/4460529933
Baxter International Inc.	Senior Manager, Government Pricing	Req-level carve-out, quoted verbatim from the JD: "We are unable to sponsor or take over sponsorship of an employment visa at this time." Company-level check confirms Baxter Healthcare Corporation is a current, actively-certified H-1B sponsor (15/8 LCAs + 9 LCs FY2025, see data/visa-cache.tsv) -- so this is scoped to this req/business unit, not employer-wide. Scoped to this exact title.	SKIP	2026-09-19	https://www.linkedin.com/jobs/view/4469537397
TalentHop	Revenue Operations Specialist	Agency posting, actual hiring employer never named. JD only describes "the talent optimization industry... trusted by over 10,000 companies" and states "TalentHop is a recruitment partner of this role... all employment decisions... made exclusively by the hiring employer" without naming that employer. Gate cannot run without a legal entity.	NO-BUILD	2026-09-19	https://www.linkedin.com/jobs/view/4466966990
TalentHop	Sales Operations Specialist	Agency posting, actual hiring employer never named. JD only describes "network testing, monitoring, and assurance... military and aerospace... light management technologies" and states "TalentHop is not the Employer of Record (EOR) for this role." Gate cannot run without a legal entity.	NO-BUILD	2026-09-19	https://www.linkedin.com/jobs/view/4466980677
TalentHop	Manager, Demand Generation (B2B)	Agency posting, actual hiring employer never named (same TalentHop pattern as the two prior reqs: recruitment partner, not Employer of Record). Cached employer verdict from 2026-09-19 reused. Gate cannot run without a legal entity.	NO-BUILD	2026-09-22	https://www.linkedin.com/jobs/view/4468929276
Scale AI	Staff Product Manager, Agentic Platform	Req-level carve-out, quoted verbatim from the JD: "Maintain a Top Secret security clearance" and "Active TOP SECRET security clearance (TS/SCI eligibility preferred)". Hard wall per nightly-rules.md (TS/SCI). Employer itself (Scale AI, Inc.) remains a confirmed TIER-1 sponsor in data/visa-cache.tsv -- scoped to this exact title only.	SKIP	2026-09-20	https://job-boards.greenhouse.io/scaleai/jobs/4612403005
Affirm	Lead Product Marketing Manager	Req-level carve-out, quoted verbatim from the JD: "Please note that visa sponsorship is not available for this position." Hard wall per nightly-rules.md, even though the employer (Affirm, Inc.) is a confirmed company-wide TIER-1 sponsor in data/visa-cache.tsv (104 LCAs FY2025) -- scoped to this exact title only, caught during scoring by the report's own per-posting Block A work-authorization check.	SKIP	2026-09-22	https://job-boards.greenhouse.io/affirm/jobs/7773695003
Affirm	Brand Marketing Manager	Req-level carve-out, quoted verbatim from the JD: "Visa sponsorship is not available for this position." Hard wall per nightly-rules.md, even though the employer (Affirm, Inc.) is a confirmed company-wide TIER-1 sponsor in data/visa-cache.tsv -- scoped to this exact title only, caught during scoring, no report built.	SKIP	2026-09-22	https://job-boards.greenhouse.io/affirm/jobs/7872406003
Affirm	GTM Strategy & Operations Lead	Req-level carve-out, quoted verbatim from the JD: "Please note that visa sponsorship is not available for this position." Hard wall per nightly-rules.md, even though the employer (Affirm, Inc.) is a confirmed company-wide TIER-1 sponsor in data/visa-cache.tsv -- scoped to this exact title only, caught during scoring, no report built.	SKIP	2026-09-22	https://job-boards.greenhouse.io/affirm/jobs/7833171003
General Motors	Senior Product Manager - Data Mining and Search	Req-level carve-out; quoted verbatim from JD: "GM does not provide immigration-related sponsorship for this role... This includes... H-1B, OPT, STEM OPT, CPT, TN, J-1..." WebSearch confirms GM's full-time roles elsewhere sponsor H-1B (2,117+ historical LCAs, see data/visa-cache.tsv) -- scoped to this exact req, not employer-wide.	SKIP	2026-09-23	https://www.linkedin.com/jobs/view/4470638045
Roofstock	Senior Product Manager, Leasing	Req-level carve-out; quoted verbatim from JD: "Authorization to work in the U.S. is a precondition of employment and we are unable to sponsor H1-B Visas at this time." Company-level check confirms Roofstock, Inc. is an evidenced H-1B sponsor (28 LCAs FY2022-24, 1 LCA FY2024, see data/visa-cache.tsv) -- scoped to this exact title, not employer-wide.	SKIP	2026-09-23	https://www.linkedin.com/jobs/view/4461224893
Socure	Senior Product Manager - Document Verification	Req-level carve-out, quoted verbatim from the JD: "Note: We cannot provide Sponsorship at this time." Company-level check confirms Socure, Inc. is a current, actively-certified H-1B sponsor (16 LCAs FY2025, all certified, see data/visa-cache.tsv) -- so this is scoped to this exact req, not employer-wide. The other open Socure req (Senior Product Marketing Manager) has no such wall and survives as TIER-1 BUILD.	SKIP	2026-09-24	https://jobs.ashbyhq.com/socure/aaad1c05-d298-40b4-a628-96bd1105fc9d
Verkada	Senior Field Marketing Manager - Enterprise	Req-level hard wall, quoted verbatim from the JD: "We are unable to sponsor or take over sponsorship of an employment visa for this role, at this time." Scoped to this exact title (employer-wide sponsorship status not evaluated tonight; no lookup spent per nightly-rules.md "stop at the first hard wall").	SKIP	2026-09-24	https://www.linkedin.com/jobs/view/4425581168
ZS	Client Insights & Market Research Associate Consultant	Req-level hard wall, quoted verbatim from the JD: "not eligible for visa sponsorship... does not now or in the future require employer sponsorship." Scoped to this exact title (employer-wide sponsorship status not evaluated tonight; no lookup spent per nightly-rules.md "stop at the first hard wall").	SKIP	2026-09-24	https://www.linkedin.com/jobs/view/4456954654
RemoteHunter	Growth Marketing Manager, Digital Media	Agency posting, actual hiring employer never named. JD names only "an unnamed cybersecurity company" as the end client ("Organization in cybersecurity focusing on cloud and AI application security, serving 65%+ of Fortune 100") and RemoteHunter is described as a recruitment partner. Gate cannot run without a legal entity.	NO-BUILD	2026-09-25	https://www.linkedin.com/jobs/view/4470004351
TalentHop	Pricing Analyst	Agency posting, same TalentHop pattern as prior reqs (cached employer verdict NO-BUILD, 2026-09-19): recruitment partner, actual hiring employer never named in the JD body.	NO-BUILD	2026-09-25	https://www.linkedin.com/jobs/view/4469757999
RemoteHunter	Competitive Intelligence Manager	Agency posting, actual hiring employer never named in the JD body (recruiter-only listing, per extraction agent's note). Same pattern as TalentHop precedent in this file. Gate cannot run without a legal entity.	NO-BUILD	2026-09-26	https://www.linkedin.com/jobs/view/4470395307
BillCom	Senior Sales Operations Analyst	Req-level hard wall, quoted verbatim from the JD: "not eligible for visa sponsorship... now or in the future." Scoped to this exact title (employer-wide sponsorship status not evaluated tonight; no lookup spent per nightly-rules.md "stop at the first hard wall").	SKIP	2026-09-26	https://www.bill.com/job?6122965004&gh_jid=6122965004
BillCom	Staff Product Marketing Manager, Partner Integrations	Req-level hard wall, quoted verbatim from the JD: "not eligible for visa sponsorship... now or in the future." Scoped to this exact title (employer-wide sponsorship status not evaluated tonight; no lookup spent per nightly-rules.md "stop at the first hard wall").	SKIP	2026-09-26	https://www.bill.com/job?6101018004&gh_jid=6101018004
