company	title	url
Amazon Web Services (AWS)	Senior Product Manager Technical - External Services, Amazon Aurora	https://www.linkedin.com/jobs/view/4469278176
Warner Bros. Discovery	Senior Product Manager	https://www.linkedin.com/jobs/view/4469298515
Palo Alto Networks	Sr. Product Manager (Support Copilot)	https://www.linkedin.com/jobs/view/4458428822
ŌURA	Senior Product Manager, New Experiences	https://www.linkedin.com/jobs/view/4420765422
NVIDIA	Senior Technical Product Manager - DGX Enterprise Infrastructure and Cloud-Native Operations	https://www.linkedin.com/jobs/view/4413840572
6sense	Staff Product Manager - Agentic Platform	https://boards.greenhouse.io/6sense/jobs/8188447?gh_jid=8188447
MongoDB	Staff Product Marketing Manager	https://www.mongodb.com/careers/job/?gh_jid=8072861
Robinhood	Senior Product Manager, Capital Markets	https://boards.greenhouse.io/robinhood/jobs/8204521?t=gh_src=&gh_jid=8204521
Poshmark	Growth Marketing Manager, Awareness Media	https://jobs.ashbyhq.com/poshmark/ececfb81-83b4-46f3-99b0-040a8a43a268
Instacart	Senior Product Manager, Order Quality	https://instacart.careers/job/?gh_jid=8203107
Demandbase	Lead Product Manager, Platform (Orchestration & AI)	https://jobs.ashbyhq.com/demandbase/67ada533-3bd1-4127-94ed-1d0ca0bf75eb
Workato	Senior Product Manager, Enterprise MCP/AI Control Plane	https://www.workato.com/careers?gh_jid=8676108002
Workato	Staff Product Manager, Developer Tools	https://www.workato.com/careers?gh_jid=8509542002
Together AI	Product Manager, AI Infrastructure	https://job-boards.greenhouse.io/togetherai/jobs/5172169007
Together AI	Senior Product Manager, Model APIs & Developer Experience	https://job-boards.greenhouse.io/togetherai/jobs/5210951007
