company	legal_name	title	url	jd_path	track	score	band	visa_verdict	comp_estimate	comp_source	portfolio_url	tracker_row
Blacksmith Agency	Blacksmith Agency LLC	Growth Marketing Manager (Remote, Washington)	https://www.linkedin.com/jobs/view/4470470932	jds/blacksmith-agency-growth-marketing-manager.md	us	3.5	no_deck	TIER-2	not stated	JD	https://adhi-growth.vercel.app/ref/blacksmith-agency	266
Sharon McMahon Education	Sharon McMahon Education LLC	Digital Marketing Manager	https://www.linkedin.com/jobs/view/4469041453	jds/sharon-mcmahon-education-digital-marketing-manager.md	us	3.0	no_deck	TIER-3	$102,000-$116,000/yr	JD	https://adhi-growth.vercel.app/ref/sharon-mcmahon-education	267
KLA	KLA Corporation	Sales Operations Analyst	https://www.linkedin.com/jobs/view/4459254827	jds/kla-sales-operations-analyst.md	us	3.4	no_deck	TIER-1	$62,200-$105,700/yr	JD	https://adhithyabhaskar.vercel.app/ref/kla	268
EOS IT Solutions	EOS IT Management Solutions Inc.	Sales Operations Associate	https://www.linkedin.com/jobs/view/4469025761	jds/eos-it-solutions-sales-operations-associate.md	us	2.7	digest	TIER-1	$31.25-$33.66/hr	JD	https://adhithyabhaskar.vercel.app/ref/eos-it-solutions	269
ByteBridge	Byte Bridge Inc.	Sales Operations Specialist	https://www.linkedin.com/jobs/view/4456776813	jds/bytebridge-sales-operations-specialist.md	us	2.5	digest	TIER-1	not stated	JD	https://adhithyabhaskar.vercel.app/ref/bytebridge	270
Amazon Web Services (AWS)	Amazon Web Services, Inc.	Product Marketing Manager- Technical, Amazon WorkSpaces	https://www.linkedin.com/jobs/view/4461238754	jds/aws-product-marketing-manager-technical-workspaces.md	us	3.7	no_deck	TIER-1	SF/Santa Clara $130,500-$176,000; Boston/Seattle $118,600-$160,000	JD	https://adhi-product-ai.vercel.app/ref/aws	271
Freshworks	Freshworks Inc.	Product Marketing Manager, Freshservice Platform	https://www.linkedin.com/jobs/view/4466302657	jds/freshworks-product-marketing-manager-freshservice-platform.md	us	3.9	no_deck	TIER-1	$160,000-$200,000/yr base	JD	https://adhi-product-ai.vercel.app/ref/freshworks	272
TikTok	TikTok Inc.	Product Marketing Manager, Audience Measurement	https://www.linkedin.com/jobs/view/4469029957	jds/tiktok-product-marketing-manager-audience-measurement.md	us	4.2	full_pack	TIER-1	$121,600-$272,000/yr	JD	https://adhi-product-ai.vercel.app/ref/tiktok	273
Metaview	Metaview Technologies Inc	Product Marketing Manager	https://www.linkedin.com/jobs/view/4461719472	jds/metaview-product-marketing-manager.md	us	3.6	no_deck	TIER-1-thin-evidence	unquantified (high compensation, cash and equity)	JD	https://adhi-product-ai.vercel.app/ref/metaview	274
NVIDIA	NVIDIA Corporation	Product Marketing Manager, CUDA Languages	https://www.linkedin.com/jobs/view/4433430087	jds/nvidia-product-marketing-manager-cuda-languages.md	us	2.8	digest	TIER-1	Level3 $124,000-$195,500; Level4 $152,000-$230,000 plus equity	JD	https://adhi-product-ai.vercel.app/ref/nvidia	275
Amazon Web Services (AWS)	Amazon Web Services, Inc.	Product Marketing Manager - Tech, AWS Observability	https://www.linkedin.com/jobs/view/4470482666	jds/aws-product-marketing-manager-tech-observability.md	us	3.6	no_deck	TIER-1	Santa Clara $130,500-$176,000; Boston/Arlington/Seattle $118,600-$160,000	JD	https://adhi-product-ai.vercel.app/ref/aws	276
Paraform	Paraform Inc	Product Marketing Lead	https://www.linkedin.com/jobs/view/4470496550	jds/paraform-product-marketing-lead.md	us	4.1	full_pack	TIER-1	not stated in JD; median $160,000, Strategic Projects Lead $160,000-$185,000	task-brief-anchor	https://adhi-product-ai.vercel.app/ref/paraform	277
